Object ID,Color
28,green
31,blodeus
32,blood-red
34,green
36,blodeus
37,black
37,white
43,perse
43,white
44,perse
44,white
45,giallus
45,green
45,sanguineus
56,brown
56,sanguineus
57,brown
57,sanguineus
58,brown
58,sanguineus
58,white
69,perse
69,yellow
74,brown
74,perse
74,white
75,blodeus
77,vermilion
84,brown
87,vermilion
87,white
88,white
93,perse
94,brown
94,perse
96,brown
115,blodeus
118,perse
121,perse
129,green
129,white
130,green
131,accolay 
131,peach blossom
134,peach blossom
134,tawny
135,white
136,blodeus
136,yellow
137,brown
137,perse
140,black
140,white
141,sky blue
166,sanguineus
181,blavus
192,perse
200,red
203,white
210,blavus
229,blavus
243,blavus
246,blodeus
247,white
248,brown
248,perse
249,brown
249,perse
280,sanguineus
298,green
321,vermilion
323,blodeus
323,sanguineus
330,blodeus
330,white
331,blodeus
332,giallecti
332,white
333,blodeus
333,white
334,blavus
334,blood-red
334,vermilion
341,black
341,sanguineus
341,white
342,black
342,brown
342,white
347,brown
348,white
403,vermelli
419,blodeus
428,white
440,blavus
442,perse
443,perse
448,white
449,perse
450,green
466,vermilion
468,perse
469,white
470,salmon
470,verdelli
483,black
484,white
501,sanguineus
501,white
502,perse
520,blood-red
520,vermilion
521,peach blossom
522,vermilion
525,rosco auro fino
525,sanguineus
526,peach blossom
532,sanguineus
534,sanguineus
535,sanguineus
536,brown
536,sanguineus
539,sky blue
542,green
543,green
543,white
544,perse
544,yellow
545,perse
546,almond
546,peach blossom
582,white
630,white
634,perse
635,perse
666,white
668,blodeus
669,blodeus
680,blodeus
680,green
680,vermilion
681,blodeus
693,verdelli
736,green
736,sanguineus
741,green
742,green
765,green
766,perse
779,perse
885,blodeus
885,white
952,green
952,white
958,vermilion
959,verdetti
961,verdelli
961,yellow
1020,green
1021,blavus
1021,indigo
1021,yellow
1027,ruby
1027,white
1028,white
1032,blodeus
1032,blood-red
1033,perse
1037,green
1038,blodeus
1046,rose
1047,rose
1057,perse
1057,yellow
1059,ashy
1062,ashy
1063,blodeus
1067,blond
1107,blavus
1107,camel
1132,white
1160,green
1161,sanguineus
1162,brown
1162,sanguineus
1171,perse
1171,yellow
1172,tawny
1173,blodeus
1174,tawny
1175,perse
1179,perse
1179,yellow
1180,sanguineus
1181,blodeus
1183,brown
1185,perse
1186,perse
1198,rose
1229,green
1254,perse
1295,white
1306,perse
1325,perse
1326,rose
1327,white
1343,green
1387,rose
1387,ruby-red
1388,verdelli
1389,sanguineus
1393,blodeus
1393,red
1396,green
1397,vermilion
1397,white
1398,blavus
1398,white
1410,black
1410,vermilion
1454,blood-red
1454,perse
1454,yellow
1508,black
1508,white
1530,indigo
1582,perse
1583,white
1625,perse
1635,white
1654,green
1668,perse
1679,green
1680,perse
1681,white
1682,white
1683,indigo
1696,green
1696,vermilion
1701,perse
1752,perse
1754,blavus
1755,blavus
1756,perse
1781,perse
1798,green
1799,green
1815,perse
1822,tawny
1822,vermilion
1849,green
2017,black
2017,sanguineus
2018,green
2019,black
2019,white
2021,sanguineus
2041,purple
2104,blodeus
2176,white
2195,black
2196,sanguineus
2211,blood-red
2211,green
2211,vermilion
2222,blodeus
2269,sky blue
2282,ashy
2282,white
2283,blond
2284,brown
2285,brown
2286,sanguineus
2292,green
2309,green
2355,blond
2358,blavus
2368,blond
2370,blond
2407,green
2407,white
2408,black
2408,white
2524,sanguineus
2525,sanguineus
2569,yellow
2570,rose
2573,blodeus
2574,blodeus
2585,perse
2595,sanguineus
2596,perse
2596,yellow
2620,green
2620,vermilion
2642,blodeus
2664,blodeus
2695,blond
2696,purple
2698,ashy
2706,blodeus
2707,green
2708,white
2736,perse
2747,perse
2771,white
2778,purple
2778,sanguineus
2779,green
2780,white
2810,blodeus
2829,white
2831,peach blossom
2831,sanguineus
2897,purple
2898,sanguineus
2899,green
2936,blodeus
2975,blavus
2987,rose
2988,rose
2995,perse
2995,yellow
3002,perse
3023,perse
3023,yellow
3025,ashy
3026,peach blossom
3026,sanguineus
3026,white
3027,sanguineus
3029,verdettam
3041,blond
3050,white
3059,sanguineus
3061,perse
3071,sanguineus
3072,blond
3073,blond
3077,black
3077,white
3078,black
3078,green
3078,white
3088,black
3088,blood-red
3094,brown
3098,blond
3098,white
3099,black
3099,white
3124,perse
3135,green
3135,white
3222,green
3222,white
3232,perse
3245,indigo
3259,green
3259,sanguineus
3260,green
3274,blood-red
3274,vermilion
3275,tawny
3280,blodeus
3292,white
3293,perse
3294,indigo
3295,white
3310,accolay
3311,white
3312,yellow
3313,blodeus
3314,green
3320,perse
3344,vermilion
3378,white
3385,rose
3400,perse
3412,sanguineus
3467,peach blossom
3470,perse
3528,perse
3530,perse
3531,white
3598,perse
3648,perse
3648,yellow
3649,blood-red
3649,vermilion
3649,white
3659,perse
3755,ruby-red
3756,sanguineus
3758,black
3758,white
3780,vermilion
3780,white
3780,yellow
3781,black
3782,tawny
3782,vermilion
3783,black
3783,sanguineus
3784,tawny
3784,vermilion
3784,white
3827,green
4024,white
4025,white
4132,perse
4227,sanguineus
4228,roctum
4228,vermilion
4229,vermilion
4230,perse
4231,white
4268,sanguineus
4269,green
4274,green
4282,perse
4283,perse
4287,sanguineus
4288,white
4289,sanguineus
4294,indigo
4321,green
4322,vermilion
4326,perse
4326,sky-blue
4348,perse
4350,sanguineus
4350,white
4351,blodeus
4352,green
4355,green
4366,black
4366,white
4371,perse
4371,yellow
4382,blodeus
4397,brown
4402,white
4413,sky blue
4427,green
4441,yellow
4442,blodeus
4442,yellow
4443,sanguineus
4461,black
4461,blavus
4462,sanguineus
4462,white
4467,perse
4468,indigo
4514,green
4561,blodeus
4562,white
4566,perse
4606,yellow
4669,blodeus
4731,almond 
4751,white
4800,white
4809,white
4822,green
4823,indigo
4856,blond
4857,white
4868,gray
4869,rose
4907,peach blossom
4907,rose
4915,blodeus
4956,white
4957,rose
4959,sanguineus
4993,blodeus
5037,blodeus
5052,blavus
5069,rose
5070,green
5071,almond
5095,almond 
5095,white
5115,blodeus
5115,white
5117,verdelli
5117,white
5118,sanguineus
5142,blodeus
5143,orange
5144,perse
5145,sky blue
5146,blodeus
5146,white
5147,white
5296,perse
5297,purple
5353,white
5386,peach blossom
5386,white
5440,white
5453,purple
5453,sanguineus
5455,sky blue
5560,sanguineus
5581,brown
5581,perse
5582,perse
5587,black
5587,yellow
5588,purple
5607,blond
5607,green
5638,green
5638,vermilion
5681,black
5697,perse
5748,white
5773,blodeus
5774,perse
5779,blodeus
5845,blavus
5857,blodeus
5858,perse
5862,blond
5869,indigo
5870,white
5875,sky blue
5875,white
5877,perse
5878,sky blue
5883,blodeus
5886,perse
5891,indigo
5896,green
5897,green
5898,green
5901,blodeus
5902,blodeus
5906,brown
5911,perse
5913,blodeus
5913,sanguineus
5919,green
5922,sky blue
5923,purple
5924,perse
5925,blodeus
5929,ruby-red
5930,sky blue
5933,green
5937,purple
5938,ruby-red
5939,purple
5942,green
5942,white
5954,perse
5959,sky blue
5968,perse
5969,sky blue
5969,white
5978,green
5979,perse
5980,perse
5981,perse
5983,white
5992,green
5997,perse
5999,blodeus
6013,green
6015,perse
6040,blodeus
6040,ruby-red
6098,blond
6099,blodeus
6099,white
6100,white
6124,blodeus
6124,white
6160,blodeus
6193,green
6239,purple
6239,ruby-red
6239,white
6298,ashy
6299,ashy
6303,blodeus
6308,indigo
6369,blodeus
6369,white
6370,green
6371,vermilion
6377,blond
6430,blond
6452,peach blossom
6452,tawny
6453,blodeus
6455,peach blossom
6455,tawny
6466,brown
6475,blodeus
6476,blodeus
6477,sanguineus
6478,vermilion
6511,white
6512,peach blossom
6512,sanguineus
6527,perse
6532,white
6533,white
6536,brown
6537,ruby-red
6538,green
6538,sky blue
6538,yellow
6540,white
6541,purple
6541,white
6542,purple
6556,white
6557,brown
6558,blavus
6559,brown
6560,orange
6560,rogat?
6560,white
6589,rose
6589,vermilion
6590,almond 
6591,almond 
6591,green
6592,sanguineus
6593,rosy
6593,tawny
6597,white
6599,white
6600,white
6602,perse
6604,perse
6605,perse
6618,blodeus
6619,blood-red
6619,vermilion
6624,blodeus
6655,green
6656,sanguineus
6712,white
6761,white
6788,indigo
6791,green
6797,green
6798,green
6799,green
6799,vermilion
6800,vermilion
6805,perse
6806,sanguineus
6810,rose
6813,blavus
6861,blodeus
6863,white
6864,blodeus
6865,green
6869,black
6869,brown
6870,green
6870,indigo
6870,sky blue
6871,yellow
6872,sky blue
6907,accolay 
6908,brown
6939,blond
6941,vermilion
6990,blodeus
6990,green
6994,tawny
7001,black
7001,white
7002,white
7006,rose
7022,green
7023,sanguineus
7025,rose
7025,white
7026,black
7026,sanguineus
7027,sanguineus
7028,rose
7029,purple
7031,fisii?
7031,yellow
7032,orange
7033,sanguineus
7067,sky blue
7070,sky blue
7071,green
7072,white
7129,sky blue
7130,sky blue
7131,sky blue
7147,sanguineus
7148,blood-red
7148,brown
7151,accolay 
7156,purple
7156,white
7157,purple
7184,sanguineus
7185,sky blue
7209,white
7224,salmon
7250,blodeus
7263,yellow
7264,cappadiciolo
7289,cardinal
7289,sanguineus
7289,yellow
7290,sky blue
7373,white
7406,blond
7408,blond
7409,blond
7444,blavus
7456,sky blue
7475,sanguineus
7482,peach blossom
7482,vermilion
7578,tawny
7579,perse
7579,white
7580,green
7580,sanguineus
7580,yellow
7668,green
7668,vermilion
7672,green
7688,perse
7689,indigo
7690,blodeus
7691,white
7742,viridis
7746,rubeus
7749,lividus
7833,rubeus
7834,viridis
7835,violetus
7836,rubeus 
7836,ruby-red
7838,lividus
7840,violetus
7841,lividus
7841,red
7841,rubeus
7852,green
7852,viridis
7990,blavus
7991,rubeus
7992,rubeus
8010,blavus
8138,albus
8181,viridis
8185,rubeus 
8191,rubeus
8194,ferrus
8196,rubeus 
8196,ruby-red
8202,violetus
8207,viridis
8276,rubeus
8277,green
8277,viridis 
8279,lividus
8375,blavus
8389,violetus
8449,albus
8523,obscurus
8524,rubeus
8528,blavus
8530,blavus
8531,blavus 
8545,rubeus
8741,croceus 
8741,saffron
8742,rubeus 
8742,ruby-red
8742,viridis
8743,croceus 
8743,rubeus
8744,rubeus
8746,rubeus
8747,lividus
8752,rubeus
8755,viridis
8756,lividus
8777,rubeus
8809,green
8809,viridis 
8843,viridis
8845,albus
8851,viridis
8852,rubeus
8898,lividus
8901,violetus
9065,nigrus
9150,albus
9162,violetus
9175,blavus
9177,albus 
9177,white
9192,albus
9195,blavus
9199,blavus
9200,albus
9200,blavus
9345,albus 
9345,white
9347,albus 
9347,white
9389,canetus
9390,viridis
9391,albus 
9391,blavus
9391,white
9392,albus
9392,white
9399,lividus
9425,albus
9426,albus
9470,rubeus 
9572,violetus
9608,gray
9608,lividus
9610,rubeus
9611,rubeus 
9612,grisus
9613,gray
9613,viridis 
9631,lividus
9632,albus
9632,lividus
9633,black
9633,nigrus 
9637,lividus
9638,albus 
9638,white
9945,pureya
9946,rubeus
9947,albus
9955,albus
9998,obscurus
9999,nigrus
10000,black
10000,nigrus
10058,albus
10076,albus
10076,nigrus
10076,rubeus
10077,rubeus
10178,viridis
10184,lividus
10184,obscurus 
10184,rubeus
10334,rubeus
10335,rubeus
10338,rubeus
10339,albus
10343,lividus
10355,albus
10423,pureya
10423,rubeus
10423,violetus
10423,viridis
10425,turquesius
10426,pureya
10427,albus 
10427,violetus
10427,white
10428,violetus
10429,viridis
10432,obscurus
10461,albus
10479,sanguineus
10495,rubeus
10495,sanguineus
10545,rubeus
10616,lividus
10820,lividus
10927,albus 
10927,rubeus
10927,white
10928,obscurus
10928,rubeus
10929,rubeus
10931,lividus
10934,rubeus
10935,lividus
10936,albus 
10936,lividus
10936,white
10938,rubeus
10952,viridis
10955,lividus
10956,violetus
10958,lividus
10964,violetus
10965,viridis
11248,albus 
11248,obscurus
11248,white
11249,lividus
11250,violetus
11251,rubeus
11316,violetus
11317,lividus
11317,rubeus 
11317,ruby-red
11322,albus
11323,brunus
11325,brunus
11326,lividus
11511,viridis
11512,green
11512,viridis 
11513,rubeus
11517,roheyha
11518,roheyha
11519,sanguineus
11520,rubeus 
11520,ruby-red
11522,lividus
11522,lividus 
11522,viridis
11524,roheyha
11524,sanguineus
11525,lividus
11534,viridis 
11535,viridis 
11652,albus 
11652,lividus
11652,white
11654,nigrus
11669,lividus
11670,obscurus
11762,lividus
11818,rubeus
11939,albus 
11939,viridis
11939,white
11941,pureya
11947,pureya
11948,lividus
11949,viridis
12036,albus
12037,nigrus
12356,lividus
12495,nigrus
12526,lividus
12926,lividus
12958,viridis
12959,lividus 
13085,black
13085,grisus
13085,nigrus 
13086,pureya
13087,lividus
13105,albus 
13105,lividus
13105,white
13166,nigrus
13202,blavus
13202,obscurus
13202,rubeus
13203,blavus
13204,blavus
13205,blavus
13205,rubeus 
13205,ruby-red
13207,albus
13207,rubeus
13209,rubeus
13210,rubeus
13216,black
13216,moratus 
13224,blavus
13255,moratus
13256,albus 
13256,lividus
13256,white
13257,albus
13258,albus
13258,nigrus 
13261,violetus
13373,lividus
13377,rubeus
13380,lividus 
13380,sanguineus
13380,slate-blue
13402,viridis
13403,pureya
13512,rubeus
13617,nigrus
13619,nigrus
13621,nigrus
13622,lividus
13634,albus
13659,blavus
13833,viridis
13845,croceus
13845,rubeus
13847,brunus
13939,albus 
13939,violetus
13939,white
13940,albus
13940,blavus
13940,white
13941,rubeus
13942,purple
13942,violetus
14131,green
14131,viridis 
14136,blodeus
14138,rose
14138,vermilion
14140,rose
14147,sanguineus
14148,brown
14163,white
14987,lividus
15014,lividus
15067,albus
15067,nigrus
15265,lividus
15265,turqueus
15266,grisus
15268,viridis
15442,rubeus